B,R,c,method,risk
1,2,1,SR,0.262346822
1,2,1,DR,0.144683945
1,2,1,ACW,0.187671474
1,2,1,COKE,0.130318597
1,2,1,SR,0.269685087
1,2,1,DR,0.154502067
1,2,1,ACW,0.157497836
1,2,1,COKE,0.116753585
1,2,1,SR,0.263404865
1,2,1,DR,0.140762187
1,2,1,ACW,0.142932157
1,2,1,COKE,0.11533258
1,2,1,SR,0.219278562
1,2,1,DR,0.117893841
1,2,1,ACW,0.152790884
1,2,1,COKE,0.102223499
1,2,1,SR,0.196771099
1,2,1,DR,0.114768177
1,2,1,ACW,0.154306207
1,2,1,COKE,0.11498132
1,2,1,SR,0.285644789
1,2,1,DR,0.160161369
1,2,1,ACW,0.152868781
1,2,1,COKE,0.133721857
1,2,1,SR,0.206153718
1,2,1,DR,0.135342257
1,2,1,ACW,0.157876942
1,2,1,COKE,0.113526406
1,2,1,SR,0.292197077
1,2,1,DR,0.129653957
1,2,1,ACW,0.164664073
1,2,1,COKE,0.123345455
1,2,1,SR,0.247018326
1,2,1,DR,0.229639306
1,2,1,ACW,0.167492825
1,2,1,COKE,0.113791402
1,2,1,SR,0.305890207
1,2,1,DR,0.197650444
1,2,1,ACW,0.152538417
1,2,1,COKE,0.118963375
1,2,1,SR,0.289206603
1,2,1,DR,0.156819424
1,2,1,ACW,0.173362227
1,2,1,COKE,0.134355579
1,2,1,SR,0.238287166
1,2,1,DR,0.165061428
1,2,1,ACW,0.137706357
1,2,1,COKE,0.112044367
1,2,1,SR,0.281935428
1,2,1,DR,0.145833731
1,2,1,ACW,0.172256429
1,2,1,COKE,0.142350338
1,2,1,SR,0.207104582
1,2,1,DR,0.148165682
1,2,1,ACW,0.19218388
1,2,1,COKE,0.1051782
1,2,1,SR,0.244712654
1,2,1,DR,0.191747291
1,2,1,ACW,0.193778174
1,2,1,COKE,0.111830856
1,2,1,SR,0.276025915
1,2,1,DR,0.139277342
1,2,1,ACW,0.170762765
1,2,1,COKE,0.130074586
1,2,1,SR,0.205256414
1,2,1,DR,0.199676133
1,2,1,ACW,0.165972506
1,2,1,COKE,0.116020574
1,2,1,SR,0.277524874
1,2,1,DR,0.137765807
1,2,1,ACW,0.284279852
1,2,1,COKE,0.129224339
1,2,1,SR,0.201542626
1,2,1,DR,0.127364626
1,2,1,ACW,0.14155482
1,2,1,COKE,0.111326666
1,2,1,SR,0.216454057
1,2,1,DR,0.146428802
1,2,1,ACW,0.2970776
1,2,1,COKE,0.113753333
1,2,1,SR,0.27006941
1,2,1,DR,0.131152918
1,2,1,ACW,0.163378195
1,2,1,COKE,0.10914013
1,2,1,SR,0.323011561
1,2,1,DR,0.19044086
1,2,1,ACW,0.277047157
1,2,1,COKE,0.141990421
1,2,1,SR,0.226626798
1,2,1,DR,0.132728544
1,2,1,ACW,0.165626482
1,2,1,COKE,0.118519218
1,2,1,SR,0.341041741
1,2,1,DR,0.12044615
1,2,1,ACW,0.197519395
1,2,1,COKE,0.145313529
1,2,1,SR,0.271247096
1,2,1,DR,0.197446107
1,2,1,ACW,0.192630765
1,2,1,COKE,0.123567964
1,2,1,SR,0.276401986
1,2,1,DR,0.19530652
1,2,1,ACW,0.295639552
1,2,1,COKE,0.112535937
1,2,1,SR,0.283905779
1,2,1,DR,0.13613267
