B,type,risk
1,perm1,0.12935605900955208
1,perm2,0.11833530649760114
1,all,0.10476347497420202
1,perm1,0.14788658536644053
1,perm2,0.1298008692203614
1,all,0.11537861202998834
1,perm1,0.17626099161859435
1,perm2,0.1920594254156009
1,all,0.15534300009162555
1,perm1,0.11268801734587075
1,perm2,0.12948073860161796
1,all,0.10570930083474671
1,perm1,0.12952911071550585
1,perm2,0.13989347171860764
1,all,0.11455012398942836
1,perm1,0.12589418394669138
1,perm2,0.1307114258571442
1,all,0.11035941666189096
1,perm1,0.12952487088344805
1,perm2,0.13323815230573025
1,all,0.11858343065342465
1,perm1,0.15449051668352598
1,perm2,0.12984864691074824
1,all,0.12192820243938413
1,perm1,0.11997441176366717
1,perm2,0.13176824073934132
1,all,0.1109127554299801
1,perm1,0.1385204578435804
1,perm2,0.15752827424041319
1,all,0.12431010021635852
1,perm1,0.12517275589812543
1,perm2,0.13519119577821861
1,all,0.11137164608552252
1,perm1,0.17784525808733073
1,perm2,0.13153249503908232
1,all,0.12945479396924617
1,perm1,0.12762368277808883
1,perm2,0.13083865045254736
1,all,0.11211632569069481
1,perm1,0.18005278500915003
1,perm2,0.17975946806964932
1,all,0.15286309299478415
1,perm1,0.1360498452369136
1,perm2,0.1447591352401531
1,all,0.12028198843828061
1,perm1,0.12556870698869452
1,perm2,0.12494038682348468
1,all,0.10547426478911645
1,perm1,0.12765656503467032
1,perm2,0.1362847835927467
1,all,0.10696595235684188
1,perm1,0.16249577231927342
1,perm2,0.1417685386598526
1,all,0.13082992390802797
1,perm1,0.1212729611205028
1,perm2,0.13871719878835734
1,all,0.10769244238494262
1,perm1,0.12624828099545551
1,perm2,0.15025610521584545
1,all,0.12255880879276693
1,perm1,0.12891654416593684
1,perm2,0.1272702830021903
1,all,0.1117147683329312
1,perm1,0.14238700782152455
1,perm2,0.13093082294675376
1,all,0.11584016045811793
1,perm1,0.15455569260886465
1,perm2,0.16996497197679528
1,all,0.14171722965751665
1,perm1,0.13506890453170353
1,perm2,0.12813217933773416
1,all,0.10896652721839885
1,perm1,0.1385588988647434
1,perm2,0.15393842518083561
1,all,0.12738166304482734
1,perm1,0.17433458121684048
1,perm2,0.19649346676417095
1,all,0.16576932826244448
1,perm1,0.14058656252383844
1,perm2,0.12545581373875517
1,all,0.11693055516764674
1,perm1,0.1476138494471374
1,perm2,0.13133424321691312
1,all,0.1211178615771682
1,perm1,0.1217069464120391
1,perm2,0.12928851102615543
1,all,0.10609158168643416
1,perm1,0.19589883530147859
1,perm2,0.22031575067532208
1,all,0.1806440635140219
1,perm1,0.12196096438384665
1,perm2,0.13076790870099497
1,all,0.10244080859001428
1,perm1,0.12645405521169029
1,perm2,0.125906260663253
1,all,0.10574516804613138
1,perm1,0.15914221942139556
1,perm2,0.16806461693924288
1,all,0.14114531032809643
1,perm1,0.14466899849452955
1,perm2,0.13135036829973892
1,all,0.10924032523715704
1,perm1,0.17453920880449234
1,perm2,0.13613835418255432
1,all,0.1292989471019939
1,perm1,0.1264154991315941
1,perm2,0.1318206344797255
1,all,0.10701971187317343
1,perm1,0.13887525496925346
1,perm2,0.14434157253669191
1,all,0.11865990766217632
1,perm1,0.115765278138487
1,perm2,0.15482523881070492
1,all,0.11490292541853585
1,perm1,0.1307651075168948
1,perm2,0.16521417326029697
1,all,0.11656465320996251
1,perm1,0.13669721122342848
1,perm2,0.134992421489452
1,all,0.11118964340570395
1,perm1,0.1462452358280726
1,perm2,0.12165693412260371
1,all,0.12215678734165986
1,perm1,0.12949775405094352
1,perm2,0.1617542245516239
1,all,0.12513655077000468
1,perm1,0.1212860673519041
1,perm2,0.12611802603185343
1,all,0.10487953013460713
1,perm1,0.1219104878070982
1,perm2,0.14022438232115536
1,all,0.11172549116842137
1,perm1,0.12952798237222085
1,perm2,0.1789442847019047
1,all,0.13054058558304119
1,perm1,0.1245033543755063
1,perm2,0.15590925747087722
1,all,0.12139010660487917
1,perm1,0.13883050518818763
1,perm2,0.12513257410661305
1,all,0.114104787158115
1,perm1,0.1526866133085199
1,perm2,0.17782306083715466
1,all,0.14418506137093187
1,perm1,0.14493560395158453
1,perm2,0.15529532718810082
1,all,0.12664101629681546
1,perm1,0.1521752756590675
1,perm2,0.14703108250494315
1,all,0.12930745677798972
1,perm1,0.1535310788387586
1,perm2,0.12613982279500943
1,all,0.11436264943611137
1,perm1,0.13660620782393126
1,perm2,0.17685265672167186
1,all,0.1403943123322085
1,perm1,0.11848654677428876
1,perm2,0.11905192932337517
1,all,0.09973711012446956
1,perm1,0.11744111364438091
1,perm2,0.13291514396739362
1,all,0.10425556608071986
1,perm1,0.15688980784798667
1,perm2,0.14232887570486827
1,all,0.1256069609307898
1,perm1,0.12448198306562419
1,perm2,0.14962383094404538
1,all,0.12055598597349285
1,perm1,0.13988744578451287
1,perm2,0.1293492710637136
1,all,0.11709984482373263
1,perm1,0.15275394991248759
1,perm2,0.13614149200096531
1,all,0.11915275001652262
1,perm1,0.14932367977850894
1,perm2,0.17502831634984523
1,all,0.13728181331596606
1,perm1,0.1238976045441174
1,perm2,0.1338928514435408
1,all,0.11095600750507496
1,perm1,0.1650743756722871
1,perm2,0.1336849135872392
1,all,0.12873645549356708
1,perm1,0.12732117109937205
1,perm2,0.13637786227842297
1,all,0.11662639281446277
1,perm1,0.11250469152036863
