B,R,c,method,risk
1,2,1,SR,0.239680395
1,2,1,DR,0.164430889
1,2,1,ACW,0.196504355
1,2,1,COKE,0.110749628
1,2,1,SR,0.283653085
1,2,1,DR,0.148207368
1,2,1,ACW,0.170804548
1,2,1,COKE,0.111026727
1,2,1,SR,0.287535367
1,2,1,DR,0.188515956
1,2,1,ACW,0.171337992
1,2,1,COKE,0.162321608
1,2,1,SR,0.185069895
1,2,1,DR,0.150543751
1,2,1,ACW,0.178962042
1,2,1,COKE,0.117292077
1,2,1,SR,0.230023237
1,2,1,DR,0.160738131
1,2,1,ACW,0.180897595
1,2,1,COKE,0.111980251
1,2,1,SR,0.233674878
1,2,1,DR,0.166303103
1,2,1,ACW,0.211188393
1,2,1,COKE,0.109812372
1,2,1,SR,0.236807583
1,2,1,DR,0.146373237
1,2,1,ACW,0.181018797
1,2,1,COKE,0.127334787
1,2,1,SR,0.289822491
1,2,1,DR,0.139099928
1,2,1,ACW,0.181300493
1,2,1,COKE,0.118715701
1,2,1,SR,0.247418521
1,2,1,DR,0.123492878
1,2,1,ACW,0.169452004
1,2,1,COKE,0.107362136
1,2,1,SR,0.207608487
1,2,1,DR,0.200555845
1,2,1,ACW,0.261072405
1,2,1,COKE,0.128645136
1,2,1,SR,0.247427247
1,2,1,DR,0.098634792
1,2,1,ACW,0.149686521
1,2,1,COKE,0.113338765
1,2,1,SR,0.290644188
1,2,1,DR,0.128306073
1,2,1,ACW,0.186124758
1,2,1,COKE,0.12778975
1,2,1,SR,0.216578432
1,2,1,DR,0.148658457
1,2,1,ACW,0.17195442
1,2,1,COKE,0.115301519
1,2,1,SR,0.331991869
1,2,1,DR,0.14013807
1,2,1,ACW,0.217875215
1,2,1,COKE,0.177092877
1,2,1,SR,0.255488277
1,2,1,DR,0.120702525
1,2,1,ACW,0.135763135
1,2,1,COKE,0.112921502
1,2,1,SR,0.225673155
1,2,1,DR,0.103324907
1,2,1,ACW,0.18051185
1,2,1,COKE,0.097509983
1,2,1,SR,0.215731863
1,2,1,DR,0.118600338
1,2,1,ACW,0.183786199
1,2,1,COKE,0.114063177
1,2,1,SR,0.323222119
1,2,1,DR,0.138097735
1,2,1,ACW,0.176917385
1,2,1,COKE,0.126822292
1,2,1,SR,0.225104341
1,2,1,DR,0.131272858
1,2,1,ACW,0.186109102
1,2,1,COKE,0.107477612
1,2,1,SR,0.246366588
1,2,1,DR,0.126125326
1,2,1,ACW,0.19189896
1,2,1,COKE,0.13217483
1,2,1,SR,0.263206384
1,2,1,DR,0.144504734
1,2,1,ACW,0.168974733
1,2,1,COKE,0.11428827
1,2,1,SR,0.248929116
1,2,1,DR,0.149141545
1,2,1,ACW,0.193096437
1,2,1,COKE,0.113655807
1,2,1,SR,0.321620284
1,2,1,DR,0.166520463
1,2,1,ACW,0.164261045
1,2,1,COKE,0.138523177
1,2,1,SR,0.232123981
1,2,1,DR,0.162004335
1,2,1,ACW,0.180695858
1,2,1,COKE,0.113332308
1,2,1,SR,0.242158244
1,2,1,DR,0.141592411
1,2,1,ACW,0.15526547
1,2,1,COKE,0.120198959
1,2,1,SR,0.295219832
1,2,1,DR,0.169282824
1,2,1,ACW,0.181717337
1,2,1,COKE,0.153029417
1,2,1,SR,0.258743627
1,2,1,DR,0.179024752
1,2,1,ACW,0.200941186
1,2,1,COKE,0.114769212
1,2,1,SR,0.268763943
1,2,1,DR,0.178804829
1,2,1,ACW,0.512692949
1,2,1,COKE,0.117481023
1,2,1,SR,0.193357344
1,2,1,DR,0.123081977
1,2,1,ACW,0.156814947
1,2,1,COKE,0.112771747
1,2,1,SR,0.329063075
1,2,1,DR,0.12337995
1,2,1,ACW,0.149147443
1,2,1,COKE,0.165844939
1,2,1,SR,0.211663541
1,2,1,DR,0.154491465
1,2,1,ACW,0.164958896
1,2,1,COKE,0.103759839
1,2,1,SR,0.24783639
1,2,1,DR,0.140314254
1,2,1,ACW,0.183773538
1,2,1,COKE,0.103148961
1,2,1,SR,0.310700855
1,2,1,DR,0.15138701
1,2,1,ACW,0.221835116
1,2,1,COKE,0.131468664
1,2,1,SR,0.239279299
1,2,1,DR,0.14700551
1,2,1,ACW,0.145816353
1,2,1,COKE,0.114698458
1,2,1,SR,0.316159783
1,2,1,DR,0.131269236
1,2,1,ACW,0.158376056
1,2,1,COKE,0.125779819
1,2,1,SR,0.25098713
1,2,1,DR,0.1620436
1,2,1,ACW,0.142502316
1,2,1,COKE,0.101946861
1,2,1,SR,0.267355672
1,2,1,DR,0.135800582
1,2,1,ACW,0.20062511
1,2,1,COKE,0.115138596
1,2,1,SR,0.218933917
1,2,1,DR,0.155864734
1,2,1,ACW,0.14708855
1,2,1,COKE,0.112245455
1,2,1,SR,0.223369077
1,2,1,DR,0.165112981
1,2,1,ACW,0.147713309
1,2,1,COKE,0.108691496
1,2,1,SR,0.287977031
1,2,1,DR,0.150778242
1,2,1,ACW,0.130442759
1,2,1,COKE,0.111161705
1,2,1,SR,0.249640722
1,2,1,DR,0.122958821
1,2,1,ACW,0.154172478
1,2,1,COKE,0.121174334
1,2,1,SR,0.250269766
1,2,1,DR,0.128338044
1,2,1,ACW,0.158937348
1,2,1,COKE,0.130380262
1,2,1,SR,0.199151459
1,2,1,DR,0.113573675
1,2,1,ACW,0.18869424
1,2,1,COKE,0.101223735
1,2,1,SR,0.228869816
1,2,1,DR,0.151678756
1,2,1,ACW,0.19047923
1,2,1,COKE,0.114673971
1,2,1,SR,0.224489186
1,2,1,DR,0.164945536
1,2,1,ACW,0.137369508
1,2,1,COKE,0.123231945
1,2,1,SR,0.201690737
1,2,1,DR,0.168022943
1,2,1,ACW,0.199854514
1,2,1,COKE,0.118442519
1,2,1,SR,0.258346258
1,2,1,DR,0.131089125
1,2,1,ACW,0.166016273
1,2,1,COKE,0.107863322
1,2,1,SR,0.299993607
1,2,1,DR,0.169381111
1,2,1,ACW,0.191633042
1,2,1,COKE,0.146937767
1,2,1,SR,0.274146957
1,2,1,DR,0.130408067
1,2,1,ACW,0.14272071
1,2,1,COKE,0.13899695
1,2,1,SR,0.277536116
1,2,1,DR,0.159198716
1,2,1,ACW,0.150296362
1,2,1,COKE,0.127807197
1,2,1,SR,0.260781935
1,2,1,DR,0.120932213
1,2,1,ACW,0.157864148
1,2,1,COKE,0.110024597
1,2,1,SR,0.221860604
1,2,1,DR,0.152470405
1,2,1,ACW,0.174375599
1,2,1,COKE,0.139055541
1,2,1,SR,0.225311856
1,2,1,DR,0.128718662
1,2,1,ACW,0.137988231
1,2,1,COKE,0.10272933
1,2,1,SR,0.213493168
1,2,1,DR,0.124573473
1,2,1,ACW,0.142302305
1,2,1,COKE,0.097065505
1,2,1,SR,0.361839252
1,2,1,DR,0.166060439
1,2,1,ACW,0.17570965
1,2,1,COKE,0.12750787
1,2,1,SR,0.237358574
1,2,1,DR,0.136911632
1,2,1,ACW,0.163703368
1,2,1,COKE,0.119452611
1,2,1,SR,0.310048603
1,2,1,DR,0.117944459
1,2,1,ACW,0.149608933
1,2,1,COKE,0.125451626
1,2,1,SR,0.300981564
1,2,1,DR,0.142482346
1,2,1,ACW,0.137927295
1,2,1,COKE,0.119211255
1,2,1,SR,0.261010275
1,2,1,DR,0.128138964
1,2,1,ACW,0.134337725
1,2,1,COKE,0.12874536
1,2,1,SR,0.259960738
1,2,1,DR,0.149830648
1,2,1,ACW,0.155507941
1,2,1,COKE,0.109252361
