B,R,c,method,risk
10,2,0.5,SR,0.189792728
10,2,0.5,DR,0.277142897
10,2,0.5,ACW,2.305429748
10,2,0.5,COKE,0.11911464
10,2,0.5,SR,0.19487514
10,2,0.5,DR,0.215821675
10,2,0.5,ACW,0.901400119
10,2,0.5,COKE,0.141972542
10,2,0.5,SR,0.241509853
10,2,0.5,DR,0.306294578
10,2,0.5,ACW,0.635378218
10,2,0.5,COKE,0.140391956
10,2,0.5,SR,0.174882998
10,2,0.5,DR,0.193908172
10,2,0.5,ACW,0.261911695
10,2,0.5,COKE,0.109035146
10,2,0.5,SR,0.15582558
10,2,0.5,DR,0.181535307
10,2,0.5,ACW,0.340057039
10,2,0.5,COKE,0.129497227
10,2,0.5,SR,0.151145978
10,2,0.5,DR,0.269491744
10,2,0.5,ACW,57.49569711
10,2,0.5,COKE,0.114592167
10,2,0.5,SR,0.195500188
10,2,0.5,DR,0.19369378
10,2,0.5,ACW,0.517170548
10,2,0.5,COKE,0.139016583
10,2,0.5,SR,0.204800365
10,2,0.5,DR,0.189684189
10,2,0.5,ACW,0.83580064
10,2,0.5,COKE,0.125661042
10,2,0.5,SR,0.143499487
10,2,0.5,DR,0.221737402
10,2,0.5,ACW,0.82858232
10,2,0.5,COKE,0.119371672
10,2,0.5,SR,0.189352878
10,2,0.5,DR,0.277741436
10,2,0.5,ACW,0.171471676
10,2,0.5,COKE,0.132430403
10,2,0.5,SR,0.252764723
10,2,0.5,DR,0.200876279
10,2,0.5,ACW,0.587601968
10,2,0.5,COKE,0.094951584
10,2,0.5,SR,0.152951882
10,2,0.5,DR,0.324079437
10,2,0.5,ACW,0.786002157
10,2,0.5,COKE,0.157603714
10,2,0.5,SR,0.166170527
10,2,0.5,DR,0.246969924
10,2,0.5,ACW,0.837297069
10,2,0.5,COKE,0.117180523
10,2,0.5,SR,0.148792443
10,2,0.5,DR,0.202774714
10,2,0.5,ACW,16.37595447
10,2,0.5,COKE,0.111112051
10,2,0.5,SR,0.191819626
10,2,0.5,DR,0.223273261
10,2,0.5,ACW,0.387129212
10,2,0.5,COKE,0.116411864
10,2,0.5,SR,0.152361246
10,2,0.5,DR,0.225817674
10,2,0.5,ACW,0.499970327
10,2,0.5,COKE,0.132149973
10,2,0.5,SR,0.236571771
10,2,0.5,DR,0.238258951
10,2,0.5,ACW,2.271422273
10,2,0.5,COKE,0.122594077
10,2,0.5,SR,0.156638808
10,2,0.5,DR,0.178783432
10,2,0.5,ACW,1.817912831
10,2,0.5,COKE,0.125810615
10,2,0.5,SR,0.134100707
10,2,0.5,DR,0.244894905
10,2,0.5,ACW,0.643992994
10,2,0.5,COKE,0.112558048
10,2,0.5,SR,0.18637375
10,2,0.5,DR,0.227730393
10,2,0.5,ACW,2.872127362
10,2,0.5,COKE,0.125379169
10,2,0.5,SR,0.219587362
10,2,0.5,DR,0.332748613
10,2,0.5,ACW,0.277280702
10,2,0.5,COKE,0.140635044
10,2,0.5,SR,0.149601059
10,2,0.5,DR,0.240458882
10,2,0.5,ACW,0.309251771
10,2,0.5,COKE,0.165878917
10,2,0.5,SR,0.163008558
10,2,0.5,DR,0.206659474
10,2,0.5,ACW,0.208864044
10,2,0.5,COKE,0.130269846
10,2,0.5,SR,0.166820887
10,2,0.5,DR,0.239150893
10,2,0.5,ACW,0.211378186
10,2,0.5,COKE,0.116689573
10,2,0.5,SR,0.26252037
10,2,0.5,DR,0.175581897
10,2,0.5,ACW,0.446921053
10,2,0.5,COKE,0.146766183
10,2,0.5,SR,0.170784978
10,2,0.5,DR,0.20929694
10,2,0.5,ACW,0.262478677
10,2,0.5,COKE,0.122924351
10,2,0.5,SR,0.16720147
10,2,0.5,DR,0.229094817
10,2,0.5,ACW,0.387062729
10,2,0.5,COKE,0.129327021
10,2,0.5,SR,0.184655286
10,2,0.5,DR,0.263839986
10,2,0.5,ACW,0.353830214
10,2,0.5,COKE,0.128336905
10,2,0.5,SR,0.188820251
10,2,0.5,DR,0.195316157
10,2,0.5,ACW,0.558264195
10,2,0.5,COKE,0.141781385
10,2,0.5,SR,0.178135484
10,2,0.5,DR,0.150211741
10,2,0.5,ACW,0.241844149
10,2,0.5,COKE,0.112419218
10,2,0.5,SR,0.177413754
10,2,0.5,DR,0.173553365
10,2,0.5,ACW,0.244956501
10,2,0.5,COKE,0.114279955
10,2,0.5,SR,0.191473543
10,2,0.5,DR,0.164476835
10,2,0.5,ACW,3.045018287
10,2,0.5,COKE,0.118911161
10,2,0.5,SR,0.251432796
10,2,0.5,DR,0.309452473
10,2,0.5,ACW,0.335740419
10,2,0.5,COKE,0.145474043
