nt,method,risk
250,SR,0.85614123
250,DR,0.475665921
250,ACW,30.34615654
250,COKE,0.249609455
250,RLearner,0.301684891
250,SR,0.644370911
250,DR,0.888749019
250,ACW,1.143271232
250,COKE,0.276068167
250,RLearner,0.424805231
250,SR,0.521161079
250,DR,0.711196308
250,ACW,0.580787664
250,COKE,0.476003649
250,RLearner,0.619924865
250,SR,0.658157467
250,DR,0.722430297
250,ACW,0.449753212
250,COKE,0.509196938
250,RLearner,0.255429575
250,SR,0.672807144
250,DR,0.736109886
250,ACW,0.530813884
250,COKE,0.239086308
250,RLearner,0.494000274
250,SR,0.481570392
250,DR,0.607958554
250,ACW,1.190691038
250,COKE,0.269495051
250,RLearner,0.541576706
250,SR,0.741423398
250,DR,0.600873937
250,ACW,0.463256009
250,COKE,0.278025671
250,RLearner,0.217377548
250,SR,0.590639597
250,DR,0.632353698
250,ACW,0.894888121
250,COKE,0.305478138
250,RLearner,0.505724653
250,SR,0.745829683
250,DR,0.88868357
250,ACW,0.365082558
250,COKE,0.342909555
250,RLearner,0.407709734
250,SR,0.475636318
250,DR,0.435763201
250,ACW,1.539315931
250,COKE,0.261588574
250,RLearner,0.399744494
250,SR,0.782123061
250,DR,0.248451288
250,ACW,0.775776717
250,COKE,0.184914022
250,RLearner,0.388292697
250,SR,0.707539765
250,DR,0.283676895
250,ACW,4.90223423
250,COKE,0.373947824
250,RLearner,0.376705245
250,SR,0.54033173
250,DR,0.566713729
250,ACW,8.341794649
250,COKE,0.284491061
250,RLearner,0.33766453
250,SR,0.701490084
250,DR,0.864317808
250,ACW,7.318115712
250,COKE,0.322071797
250,RLearner,0.466763447
250,SR,1.151460048
250,DR,0.441107925
250,ACW,84.87357108
250,COKE,0.266862874
250,RLearner,0.334090373
250,SR,0.478614989
250,DR,0.798469884
250,ACW,0.667001362
250,COKE,0.173662859
250,RLearner,0.381923153
250,SR,0.663168092
250,DR,0.503731033
250,ACW,0.603080155
250,COKE,0.349293235
250,RLearner,0.45886661
250,SR,0.471656532
250,DR,0.651166007
250,ACW,9.378719723
250,COKE,0.253698909
250,RLearner,0.440137912
250,SR,0.517944331
250,DR,0.344710686
250,ACW,0.37784722
250,COKE,0.2560386
250,RLearner,0.54307417
250,SR,0.751611123
250,DR,0.316239578
250,ACW,0.972651617
250,COKE,0.342412945
250,RLearner,0.311293198
250,SR,0.618919642
250,DR,0.480534936
250,ACW,20.09464449
250,COKE,0.389410548
250,RLearner,0.361108683
250,SR,0.662271406
250,DR,0.544860646
250,ACW,0.540872038
250,COKE,0.215885639
250,RLearner,0.427530104
250,SR,0.489936926
250,DR,0.323264861
250,ACW,0.452423243
250,COKE,0.230656404
250,RLearner,0.256750476
250,SR,0.624736787
250,DR,0.42780015
250,ACW,9.551714241
250,COKE,0.284313918
250,RLearner,0.205891494
250,SR,0.82464494
250,DR,0.30248069
250,ACW,0.887550221
250,COKE,0.275035725
250,RLearner,0.452087885
250,SR,0.427346206
250,DR,0.81054572
250,ACW,1.577027399
250,COKE,0.311293799
250,RLearner,0.483471001
250,SR,0.559337733
250,DR,0.564786317
250,ACW,48.062563
250,COKE,0.207546297
250,RLearner,0.275429589
250,SR,1.106178672
250,DR,0.458842133
250,ACW,0.473873851
250,COKE,0.269747339
250,RLearner,0.442368786
250,SR,0.488255126
250,DR,0.416328905
250,ACW,2.405108803
250,COKE,0.294145426
250,RLearner,0.464807055
250,SR,0.508997174
250,DR,0.643012782
250,ACW,3.189597586
250,COKE,0.305331313
250,RLearner,0.479062924
250,SR,0.839467883
250,DR,0.663687337
250,ACW,0.245372749
250,COKE,0.28580493
250,RLearner,0.392789467
250,SR,0.917222552
250,DR,0.715390729
250,ACW,26.30871345
250,COKE,0.560874483
250,RLearner,0.324779281
250,SR,0.530369023
250,DR,0.456191106
250,ACW,13.86727799
250,COKE,0.222227586
250,RLearner,0.427710549
250,SR,0.652511296
250,DR,0.523665997
250,ACW,0.343276578
250,COKE,0.242085566
250,RLearner,0.310382874
250,SR,0.551750642
250,DR,0.654975643
250,ACW,6.132982677
250,COKE,0.217242291
250,RLearner,0.236721373
250,SR,0.745257682
250,DR,0.468681615
250,ACW,4.25351566
250,COKE,0.378695026
250,RLearner,0.684318953
250,SR,0.469480902
250,DR,0.370073492
250,ACW,0.644681805
250,COKE,0.278676617
250,RLearner,0.554259307
250,SR,0.381296875
250,DR,0.453610021
250,ACW,1.718302302
250,COKE,0.208149531
250,RLearner,0.298783666
250,SR,0.514502531
250,DR,0.37387362
