B,R,c,method,risk
10,2,1,SR,0.320264243
10,2,1,DR,0.315442365
10,2,1,ACW,10.78379269
10,2,1,COKE,0.161880264
10,2,1,SR,0.387984761
10,2,1,DR,0.244805841
10,2,1,ACW,1.715205315
10,2,1,COKE,0.21167777
10,2,1,SR,0.438226668
10,2,1,DR,0.332731247
10,2,1,ACW,1.431022649
10,2,1,COKE,0.172884965
10,2,1,SR,0.356613042
10,2,1,DR,0.234475914
10,2,1,ACW,0.277748735
10,2,1,COKE,0.150995758
10,2,1,SR,0.258814753
10,2,1,DR,0.184108837
10,2,1,ACW,0.799921998
10,2,1,COKE,0.156834845
10,2,1,SR,0.313843816
10,2,1,DR,0.366777286
10,2,1,ACW,118.2376206
10,2,1,COKE,0.135663511
10,2,1,SR,0.448981064
10,2,1,DR,0.226258043
10,2,1,ACW,1.158876274
10,2,1,COKE,0.24712607
10,2,1,SR,0.394592844
10,2,1,DR,0.259984258
10,2,1,ACW,2.855377284
10,2,1,COKE,0.162202716
10,2,1,SR,0.301594618
10,2,1,DR,0.261996411
10,2,1,ACW,0.608142533
10,2,1,COKE,0.156012184
10,2,1,SR,0.38486333
10,2,1,DR,0.344572747
10,2,1,ACW,0.420532815
10,2,1,COKE,0.196026867
10,2,1,SR,0.499144767
10,2,1,DR,0.19812969
10,2,1,ACW,0.743901907
10,2,1,COKE,0.128092732
10,2,1,SR,0.217873933
10,2,1,DR,0.397419626
10,2,1,ACW,0.812716541
10,2,1,COKE,0.195168648
10,2,1,SR,0.272049986
10,2,1,DR,0.349629568
10,2,1,ACW,0.767666877
10,2,1,COKE,0.140226954
10,2,1,SR,0.310944527
10,2,1,DR,0.17979618
10,2,1,ACW,30.79190041
10,2,1,COKE,0.15156834
10,2,1,SR,0.384394049
10,2,1,DR,0.266716915
10,2,1,ACW,0.336834185
10,2,1,COKE,0.176247003
10,2,1,SR,0.255413736
10,2,1,DR,0.316501528
10,2,1,ACW,0.508977893
10,2,1,COKE,0.152320919
10,2,1,SR,0.483764498
10,2,1,DR,0.286277688
10,2,1,ACW,1.030156161
10,2,1,COKE,0.180720033
10,2,1,SR,0.319613221
10,2,1,DR,0.210795813
10,2,1,ACW,3.542906457
10,2,1,COKE,0.188133558
10,2,1,SR,0.270810266
10,2,1,DR,0.262971481
10,2,1,ACW,1.38756646
10,2,1,COKE,0.149623494
10,2,1,SR,0.367892911
10,2,1,DR,0.307998411
10,2,1,ACW,11.49747146
10,2,1,COKE,0.204515587
10,2,1,SR,0.43886534
10,2,1,DR,0.35589712
10,2,1,ACW,0.300437403
10,2,1,COKE,0.17588565
10,2,1,SR,0.245150734
10,2,1,DR,0.324962385
10,2,1,ACW,0.35022737
10,2,1,COKE,0.213101772
10,2,1,SR,0.304691767
10,2,1,DR,0.249749934
10,2,1,ACW,0.352277645
10,2,1,COKE,0.157922197
10,2,1,SR,0.277873257
10,2,1,DR,0.232972645
10,2,1,ACW,0.207953184
10,2,1,COKE,0.145288923
10,2,1,SR,0.627950317
10,2,1,DR,0.234218044
10,2,1,ACW,0.717329103
10,2,1,COKE,0.264429229
10,2,1,SR,0.366531084
10,2,1,DR,0.294403733
10,2,1,ACW,0.363563407
10,2,1,COKE,0.170848654
10,2,1,SR,0.372201056
10,2,1,DR,0.250292023
10,2,1,ACW,0.470118698
10,2,1,COKE,0.163110188
10,2,1,SR,0.401728469
10,2,1,DR,0.265762171
10,2,1,ACW,0.383766524
10,2,1,COKE,0.161854668
10,2,1,SR,0.327359645
10,2,1,DR,0.278632251
10,2,1,ACW,0.563828692
10,2,1,COKE,0.209042994
10,2,1,SR,0.360434498
10,2,1,DR,0.186627249
10,2,1,ACW,0.267855651
10,2,1,COKE,0.139153927
10,2,1,SR,0.322097954
10,2,1,DR,0.183999448
10,2,1,ACW,0.27426672
10,2,1,COKE,0.170562495
10,2,1,SR,0.355592236
10,2,1,DR,0.195265673
10,2,1,ACW,1.882235674
10,2,1,COKE,0.155824214
10,2,1,SR,0.47537826
10,2,1,DR,0.369709966
10,2,1,ACW,0.522550836
10,2,1,COKE,0.200832053
10,2,1,SR,0.225161799
10,2,1,DR,0.251955057
10,2,1,ACW,0.496930847
10,2,1,COKE,0.115608881
10,2,1,SR,0.439160781
10,2,1,DR,0.202807776
10,2,1,ACW,0.979250734
10,2,1,COKE,0.252061795
10,2,1,SR,0.212649172
10,2,1,DR,0.266060883
10,2,1,ACW,2.091081422
10,2,1,COKE,0.130888161
10,2,1,SR,0.301462239
10,2,1,DR,0.419484169
10,2,1,ACW,25.94613043
10,2,1,COKE,0.138542443
10,2,1,SR,0.476252987
10,2,1,DR,0.257898076
10,2,1,ACW,0.305458258
10,2,1,COKE,0.165472681
10,2,1,SR,0.459362305
10,2,1,DR,0.20353792
10,2,1,ACW,64.16706671
10,2,1,COKE,0.168822326
10,2,1,SR,0.526746177
10,2,1,DR,0.231130453
10,2,1,ACW,0.421992893
10,2,1,COKE,0.157826202
10,2,1,SR,0.632304367
10,2,1,DR,0.315629144
10,2,1,ACW,0.414693298
10,2,1,COKE,0.149917096
10,2,1,SR,0.463679135
10,2,1,DR,0.164205561
10,2,1,ACW,0.234162331
10,2,1,COKE,0.171798172
10,2,1,SR,0.395575035
10,2,1,DR,0.342636986
10,2,1,ACW,0.386475377
10,2,1,COKE,0.22140864
10,2,1,SR,0.425827897
10,2,1,DR,0.251065755
10,2,1,ACW,0.210140933
10,2,1,COKE,0.216986955
10,2,1,SR,0.356057252
10,2,1,DR,0.232507057
10,2,1,ACW,0.381633872
10,2,1,COKE,0.16764357
10,2,1,SR,0.295322149
10,2,1,DR,0.210176714
10,2,1,ACW,0.321767186
10,2,1,COKE,0.155527727
10,2,1,SR,0.323898712
10,2,1,DR,0.236039717
10,2,1,ACW,0.335819647
10,2,1,COKE,0.175311284
10,2,1,SR,0.254446789
10,2,1,DR,0.284078416
10,2,1,ACW,1.316686714
10,2,1,COKE,0.134730163
10,2,1,SR,0.355169685
10,2,1,DR,0.352440575
10,2,1,ACW,0.331484684
10,2,1,COKE,0.130897626
10,2,1,SR,0.427605864
10,2,1,DR,0.187522855
10,2,1,ACW,0.496410083
10,2,1,COKE,0.173475393
10,2,1,SR,0.316039
10,2,1,DR,0.170650224
10,2,1,ACW,0.216129863
10,2,1,COKE,0.154724635
10,2,1,SR,0.234979255
10,2,1,DR,0.38655078
10,2,1,ACW,0.491633843
10,2,1,COKE,0.172100706
10,2,1,SR,0.32561057
10,2,1,DR,0.29041289
10,2,1,ACW,0.389270637
10,2,1,COKE,0.174485431
10,2,1,SR,0.23583487
10,2,1,DR,0.228631141
10,2,1,ACW,1.125999148
10,2,1,COKE,0.141558364
10,2,1,SR,0.33794093
10,2,1,DR,0.428387949
10,2,1,ACW,0.48199923
10,2,1,COKE,0.179940609
10,2,1,SR,0.36645385
10,2,1,DR,0.193164206
10,2,1,ACW,0.176693846
10,2,1,COKE,0.1817289
10,2,1,SR,0.470513595
10,2,1,DR,0.398873936
10,2,1,ACW,3.512813821
10,2,1,COKE,0.183454445
10,2,1,SR,0.438348444
10,2,1,DR,0.237032282
10,2,1,ACW,0.325643844
10,2,1,COKE,0.167455438
10,2,1,SR,0.414730081
10,2,1,DR,0.22570604
10,2,1,ACW,0.333050304
10,2,1,COKE,0.121705456
10,2,1,SR,0.359398961
10,2,1,DR,0.292310924
10,2,1,ACW,9.235423804
10,2,1,COKE,0.164516169
10,2,1,SR,0.467183752
10,2,1,DR,0.267185498
10,2,1,ACW,0.379359746
